Car 0

 step 1: t= 0.001112 	 0.001996 	 0.999997 	 xyzrot:	 -0.007872 	 0.018842 	 0.109090; 	 skipped= 0
 step 2: t= -0.000848 	 0.001097 	 0.999999 	 xyzrot:	 0.008693 	 -0.000920 	 0.049122; 	 skipped= 0
 step 3: t= 0.002792 	 0.000597 	 0.999996 	 xyzrot:	 0.007966 	 0.015489 	 0.507136; 	 skipped= 0
 step 4: t= -0.009497 	 0.000036 	 0.999955 	 xyzrot:	 0.026399 	 -0.039071 	 0.257478; 	 skipped= 0
 step 5: t= -0.007242 	 0.003116 	 0.999969 	 xyzrot:	 -0.016912 	 -0.125080 	 0.244494; 	 skipped= 0
 step 6: t= 0.089389 	 0.011295 	 0.995933 	 xyzrot:	 -0.097954 	 0.957310 	 -0.033979; 	 skipped= 0
 step 7: t= 0.092950 	 0.009406 	 0.995626 	 xyzrot:	 -0.088335 	 0.932832 	 0.664423; 	 skipped= 0
 step 8: t= 0.125749 	 0.017358 	 0.991910 	 xyzrot:	 -0.205283 	 2.097709 	 1.416043; 	 skipped= 0
 step 9: t= 0.089321 	 0.004385 	 0.995993 	 xyzrot:	 -0.057222 	 1.689880 	 -0.003576; 	 skipped= 0Car 1

 step 1: t= 0.005626 	 0.003723 	 0.999977 	 xyzrot:	 0.008282 	 0.014887 	 0.538967; 	 skipped= 0
 step 2: t= 0.022497 	 0.003838 	 0.999740 	 xyzrot:	 -0.005117 	 0.214644 	 0.411231; 	 skipped= 0
 step 3: t= 0.176036 	 0.006786 	 0.984360 	 xyzrot:	 -0.005238 	 0.685433 	 0.275969; 	 skipped= 0
 step 4: t= -0.218484 	 -0.055582 	 0.974256 	 xyzrot:	 -0.091107 	 3.961884 	 12.238720; 	 skipped= 0
 step 5: t= -0.025135 	 -0.025422 	 0.999361 	 xyzrot:	 0.163711 	 -3.472214 	 -7.340804; 	 skipped= 0
 step 6: t= 0.036550 	 -0.004594 	 0.999321 	 xyzrot:	 0.108836 	 0.376325 	 -1.086698; 	 skipped= 0
 step 7: t= 0.013481 	 -0.010140 	 0.999858 	 xyzrot:	 0.310170 	 0.068776 	 2.644595; 	 skipped= 0
 step 8: t= 0.013481 	 -0.010140 	 0.999858 	 xyzrot:	 -179.505810 	 -1.560960 	 30.173524; 	 skipped= 1
 step 9: t= -0.263251 	 -0.012120 	 0.964651 	 xyzrot:	 0.186154 	 -4.405163 	 -0.262833; 	 skipped= 0Car 2

 step 1: t= 0.003183 	 0.001307 	 0.999994 	 xyzrot:	 0.016202 	 -0.023696 	 0.125329; 	 skipped= 0
 step 2: t= -0.007712 	 0.004074 	 0.999962 	 xyzrot:	 -0.018917 	 -0.060091 	 -0.049131; 	 skipped= 0
 step 3: t= -0.007712 	 0.004074 	 0.999962 	 xyzrot:	 -179.848145 	 2.103795 	 8.309798; 	 skipped= 1
 step 4: t= -0.162491 	 -0.012072 	 0.986636 	 xyzrot:	 0.057394 	 -0.226870 	 -1.821760; 	 skipped= 0
 step 5: t= 0.334733 	 0.036141 	 0.941620 	 xyzrot:	 -1.324566 	 7.538787 	 -3.886156; 	 skipped= 0
 step 6: t= -0.002042 	 0.000445 	 0.999998 	 xyzrot:	 0.023537 	 -0.037595 	 0.044299; 	 skipped= 0
 step 7: t= -0.000137 	 0.000168 	 1.000000 	 xyzrot:	 -0.043965 	 -0.070492 	 -0.346344; 	 skipped= 0
 step 8: t= -0.002443 	 0.002714 	 0.999993 	 xyzrot:	 -0.001595 	 0.006816 	 -0.090537; 	 skipped= 0
 step 9: t= -0.010879 	 0.002289 	 0.999938 	 xyzrot:	 -0.008122 	 -0.061115 	 -0.127004; 	 skipped= 0Car 3

 step 1: t= -0.003087 	 0.004825 	 0.999984 	 xyzrot:	 -0.014583 	 -0.008070 	 -0.186824; 	 skipped= 0
 step 2: t= 0.008821 	 -0.008948 	 0.999921 	 xyzrot:	 0.051885 	 0.075109 	 2.186358; 	 skipped= 0
 step 3: t= 0.075060 	 -0.002990 	 0.997175 	 xyzrot:	 0.076500 	 0.552561 	 1.778925; 	 skipped= 0
 step 4: t= 0.066730 	 -0.010190 	 0.997719 	 xyzrot:	 -0.319648 	 -1.203139 	 11.560395; 	 skipped= 0
 step 5: t= 0.101235 	 -0.005725 	 0.994846 	 xyzrot:	 0.102242 	 1.061663 	 0.255373; 	 skipped= 0
 step 6: t= 0.101235 	 -0.005725 	 0.994846 	 xyzrot:	 -174.453924 	 -3.688984 	 86.582137; 	 skipped= 1
 step 7: t= 0.027218 	 -0.007764 	 0.999599 	 xyzrot:	 0.163660 	 0.302620 	 1.929950; 	 skipped= 0
 step 8: t= 0.018992 	 -0.014586 	 0.999713 	 xyzrot:	 0.444750 	 -0.125031 	 4.165690; 	 skipped= 0
 step 9: t= 0.324906 	 0.108929 	 0.939452 	 xyzrot:	 -1.132596 	 13.794702 	 14.858649; 	 skipped= 0Car 4

 step 1: t= -0.002305 	 0.003244 	 0.999992 	 xyzrot:	 0.012443 	 0.008744 	 0.186446; 	 skipped= 0
 step 2: t= -0.049239 	 -0.015561 	 0.998666 	 xyzrot:	 0.193671 	 -0.853024 	 8.776836; 	 skipped= 0
 step 3: t= -0.002732 	 0.003049 	 0.999992 	 xyzrot:	 -0.008721 	 -0.067668 	 0.511429; 	 skipped= 0
 step 4: t= 0.042860 	 -0.008645 	 0.999044 	 xyzrot:	 -0.561905 	 -2.217075 	 10.208514; 	 skipped= 0
 step 5: t= 0.016472 	 -0.024926 	 0.999554 	 xyzrot:	 0.140433 	 -0.009986 	 0.124650; 	 skipped= 0
 step 6: t= 0.079119 	 -0.024786 	 0.996557 	 xyzrot:	 -0.009343 	 -0.066473 	 -0.455396; 	 skipped= 0
 step 7: t= 0.114921 	 -0.003751 	 0.993368 	 xyzrot:	 0.069148 	 1.214384 	 -0.493240; 	 skipped= 0
 step 8: t= 0.003663 	 0.001522 	 0.999992 	 xyzrot:	 0.006539 	 -0.011838 	 1.042611; 	 skipped= 0
 step 9: t= -0.037690 	 -0.019143 	 0.999106 	 xyzrot:	 0.218099 	 0.503630 	 2.838985; 	 skipped= 0
